lsoacode,hpmd202003,hpmd202103
E01011949,95747,92692
E01011950,55862,47887
E01011951,57350,49176
E01011952,88317,
E01011953,101061,137600
E01011954,123300,121214
E01011955,72008,84722
E01011957,66333,66292
E01011959,350107,321567
E01011960,150761,168306
E01011961,127100,120917
E01011962,119333,161556
E01011963,139033,128883
E01011964,136944,192838
E01011965,196884,250202
E01011966,115857,149235
E01011967,115619,125840
E01011968,138748,137933
E01011969,124813,111767
E01011970,140499,141906
E01011971,154000,168625
E01011973,32494,36625
E01011974,95426,102652
E01011975,44575,45302
E01011976,56192,59196
E01011977,70833,
E01011978,86983,101857
E01011979,,87667
E01011980,79588,76455
E01011981,81486,84200
E01011982,304384,335294
E01011983,280597,276854
E01011984,122926,129906
E01011985,115638,128129
E01011986,122786,128475
E01011987,90669,75510
E01011988,134265,120000
E01011989,100895,94545
E01011990,119450,116760
E01011991,125359,136043
E01011992,156900,121393
E01011993,74010,88863
E01011994,61500,64559
E01011995,155047,162125
E01011996,146468,167720
E01011997,170918,165011
E01011998,169279,165533
E01011999,49075,51150
E01012000,81344,
E01012001,111458,108855
E01012002,100548,118615
E01012003,202997,220829
E01012005,194563,207185
E01032540,123413,116545
E01032541,103667,112300
E01033465,164403,184410
E01033466,83800,51165
E01033467,144878,175529
E01012007,131826,156333
E01012008,138342,164455
E01012009,120293,126685
E01012010,184800,203282
E01012011,114640,100355
E01012012,115367,124955
E01012013,96230,87540
E01012014,81214,72750
E01012015,65658,77313
E01012016,90833,104000
E01012017,101670,89750
E01012018,93240,89150
E01012019,,
E01012020,90192,89167
E01012021,72917,74438
E01012022,229593,223608
E01012023,176617,169733
E01012024,158663,139089
E01012025,136700,132300
E01012026,130650,118634
E01012027,88214,117628
E01012030,147340,151558
E01012031,162959,173294
E01012032,185056,219917
E01012033,135318,116625
E01012034,266600,279450
E01012035,111500,124346
E01012036,47626,41885
E01012037,50725,42421
E01012038,50361,49531
E01012039,61850,51594
E01012040,44239,46350
E01012041,,
E01012042,104550,106400
E01012043,124046,130468
E01012044,98727,91250
E01012045,,
E01012046,154678,171915
E01012047,156158,157909
E01012048,152845,150052
E01012049,127190,152040
E01012050,72295,71900
E01012051,100742,89516
E01012052,152106,165647
E01012053,161219,147389
E01012054,129878,122692
E01012055,145903,169735
E01012056,88193,82706
E01012057,116163,136140
E01012058,37750,53159
E01012059,55954,57148
E01012060,,66207
E01012061,68178,
E01012062,232299,207669
E01012063,142262,169318
E01012064,162272,229510
E01012065,223407,255552
E01012066,203076,213421
E01012067,200826,245767
E01012068,48927,60438
E01012071,300237,289971
E01012073,177333,193818
E01012074,73611,77361
E01012075,61500,63042
E01012076,,66850
E01012077,76555,
E01012078,78925,68667
E01012079,141567,126128
E01012080,99695,110643
E01012081,115656,114875
E01012082,103400,
E01012083,63375,70100
E01012084,80200,
E01012085,74167,77778
E01012088,113880,91245
E01012089,,82999
E01012090,,
E01012091,80000,74295
E01012092,64208,85050
E01012093,70120,53500
E01012094,83105,85050
E01032552,144656,123750
E01032553,214406,225537
E01032593,309189,344243
E01033468,64395,67165
E01033469,146400,101800
E01012095,176500,165497
E01012096,78036,72000
E01012097,113794,128000
E01012098,161371,139560
E01012099,64124,56731
E01012100,69871,104042
E01012101,97050,125080
E01012102,81731,74506
E01012105,116470,128165
E01012106,106172,116504
E01012107,82167,92500
E01012108,106807,72222
E01012109,96574,111248
E01012110,104565,104611
E01012111,91357,127409
E01012112,,
E01012113,61964,62563
E01012114,,52912
E01012117,198048,179451
E01012118,113311,95321
E01012119,193629,163731
E01012120,157650,168661
E01012121,80200,94333
E01012124,310584,300763
E01012127,,
E01012128,79708,89286
E01012129,149455,163914
E01012130,159900,194175
E01012131,119395,153250
E01012132,119814,188764
E01012134,129071,156043
E01012136,101111,98761
E01012137,134937,125410
E01012138,198156,217740
E01012139,160911,176020
E01012140,108528,85247
E01012141,150533,152936
E01012142,110417,111515
E01012143,104114,112179
E01012144,107217,122405
E01012145,95278,117514
E01012146,170419,151200
E01012147,182223,187094
E01012148,73167,73389
E01012149,157532,180292
E01012150,101311,72167
E01012151,144492,140036
E01012152,236353,214922
E01012154,144117,169885
E01012155,217497,146041
E01012156,147306,158184
E01012157,180257,183188
E01012158,307651,267220
E01012159,139349,151570
E01012160,203603,175188
E01012161,184257,203376
E01012162,81750,136050
E01012163,176142,182516
E01012164,110000,167497
E01012165,140575,127593
E01012167,135524,144248
E01012168,104965,93333
E01012170,,35250
E01012171,101850,98681
E01012172,109150,122692
E01012173,154575,147648
E01012174,134786,145571
E01012175,,
E01012176,140135,151559
E01012177,139688,163324
E01012178,148367,145847
E01012179,162912,174047
E01012180,192714,219450
E01012181,93358,94036
E01012182,187569,222808
E01012183,153895,161516
E01012184,94497,124138
E01012185,113119,136206
E01012186,131697,163259
E01032548,249343,233963
E01032549,196628,226788
E01032560,131057,163454
E01032561,67250,74500
E01032594,198729,234687
E01033470,56795,58214
E01033471,64250,65009
E01033472,121832,134226
E01033473,79497,99850
E01012187,111219,112263
E01012188,245305,161983
E01012189,139931,130674
E01012190,123750,149972
E01012191,165813,153132
E01012192,98613,134000
E01012193,86785,92875
E01012194,79997,124574
E01012195,59250,81800
E01012196,85122,88875
E01012197,93135,92214
E01012198,85217,108413
E01012199,237173,236385
E01012200,235465,208611
E01012201,212947,189533
E01012202,234406,261985
E01012203,243271,202011
E01012204,202220,192844
E01012205,154310,130113
E01012206,144650,172972
E01012207,190260,213235
E01012208,166132,171289
E01012209,185009,189719
E01012210,203765,212138
E01012211,202818,211486
E01012212,174429,204120
E01012213,138214,148927
E01012214,86884,92087
E01012215,79563,81310
E01012216,79857,127750
E01012217,77917,65664
E01012218,180400,193375
E01012219,143875,163026
E01012223,250100,375500
E01012224,145709,150208
E01012225,157288,163565
E01012226,142100,163934
E01012227,137534,148820
E01012228,164222,183103
E01012230,185093,205172
E01012231,213550,211275
E01012232,166050,170657
E01012233,275767,331368
E01012234,232316,224954
E01012235,310061,327514
E01012236,161800,171804
E01012237,223294,246083
E01012238,81056,88429
E01012239,108375,120968
E01012240,118656,137787
E01012241,123329,128539
E01012242,130218,139079
E01012243,128000,114000
E01012244,134052,138036
E01012245,112500,89827
E01012246,144667,142577
E01012247,79944,81300
E01012248,119467,148654
E01012249,92771,98500
E01012250,183118,144469
E01012251,73933,79500
E01012252,,65857
E01012253,125250,111000
E01012254,56000,66841
E01012255,165373,172611
E01012256,176416,176309
E01012257,132591,154500
E01012258,83895,90700
E01012259,95100,110563
E01012260,157750,165783
E01012261,102279,103912
E01012262,65873,75846
E01012264,156710,151063
E01012266,146838,108805
E01012267,71300,52950
E01012268,115543,96929
E01012269,247127,312639
E01012270,233000,239830
E01012271,91722,75357
E01012272,116762,113100
E01012273,68778,78713
E01012274,95463,80963
E01012275,93869,100700
E01012276,102024,111775
E01012277,94786,92625
E01012278,110625,91083
E01012279,111035,115263
E01012280,119184,151361
E01012281,140517,157625
E01012282,96933,108300
E01012283,123750,91555
E01012284,109833,
E01012285,159189,133691
E01012286,49090,58833
E01012287,71756,86389
E01012288,57527,55875
E01012289,84500,99676
E01012290,135213,149291
E01012291,124674,115158
E01012292,100950,106375
E01012294,249846,331804
E01012295,142775,156390
E01012296,151238,167227
E01012297,203655,225143
E01012298,407320,427432
E01012299,318650,339328
E01012300,207346,190233
E01012301,223534,217343
E01012302,161138,225000
E01012303,269210,223934
E01032542,104703,115125
E01032543,62445,62286
E01032544,151314,165518
E01033474,177313,206519
E01033475,234675,247744
E01033476,397526,437702
E01033477,57167,79366
E01033478,253604,258063
E01033479,187765,203939
E01033480,296982,264657
E01012304,65563,67315
E01012305,58883,65346
E01012306,108870,117597
E01012307,84918,93032
E01012309,138307,143846
E01012310,129269,141118
E01012311,122675,137627
E01012312,115929,86493
E01012313,101879,117996
E01012314,70313,
E01012315,224458,228224
E01012316,248964,243054
E01012317,113611,114936
